Concert ID,Date,Venue,City,State,Artists,Has Setlist
147,2001-10-27,Madison Square Garden,New York,NY,"U2 (headliner), Stereophonics (opener)",True
148,2001-11-27,Madison Square Garden,New York,NY,Elton John (headliner),True
149,2001-12-04,Convention Hall,Asbury Park,NJ,"Bruce Springsteen (headliner), Max Weinberg 7 & Friends (opener)",False
15,1996-03-12,Beacon Theatre,New York,NY,Allman Brothers Band (headliner),True
150,2002-02-01,Webster Theater,Hartford,CT,"Southside Johnny (festival_performer), the Asbury Jukes (festival_performer)",False
151,2002-02-04,XL Center,Hartford,CT,"Elton John (festival_performer), Billy Joel (festival_performer)",True
152,2002-02-28,XL Center,Hartford,CT,"Crosby (festival_performer), Stills (festival_performer), Nash & Young (festival_performer)",True
153,2002-03-14,Beacon Theatre,New York,NY,Allman Brothers Band (headliner),True
154,2002-04-20,Great South Bay Music Festival,Oakdale,NY,Stone Temple Pilots (headliner),True
155,2002-04-21,Nassau Coliseum,Uniondale,NY,Paul McCartney (headliner),True
156,2002-06-16,BB King Blues Club,New York,NY,"Dickey Betts (festival_performer), Great Southern (festival_performer)",True
157,2002-07-13,Montage Mountain Amphitheater,Scranton,PA,Tom Petty & the Heartbreakers & Brian Setzer Trio (headliner),False
158,2002-07-15,Jones Beach Theater,Wantagh,NY,Rush (headliner),True
159,2002-07-20,Jones Beach Theater,Wantagh,NY,John Mellencamp (headliner),False
16,1996-02-01,XL Center,Hartford,CT,Rod Stewart (headliner),False
160,2002-07-26,The Meadowlands,East Rutherford,NJ,Dave Matthews Band (headliner),False
161,2002-07-27,Izod Center,East Rutherford,NJ,Creed (headliner),True
162,2002-08-03,Mulcahy's Pub,Wantagh,NY,"Dickey Betts (festival_performer), Great Southern (festival_performer)",False
163,2002-08-05,Izod Center,East Rutherford,NJ,Bruce Springsteen & the E Street Band (headliner),False
164,2002-08-11,Jones Beach Theater,Wantagh,NY,"Bonnie Raitt (festival_performer), Lyle Lovett (festival_performer)",False
165,2002-08-12,Madison Square Garden,New York,NY,Bruce Springsteen & the E Street Band (headliner),False
166,2002-08-13,Jones Beach Theater,Wantagh,NY,Allman Brothers Band (headliner),True
167,2002-08-31,Jones Beach Theater,Wantagh,NY,"The Who (festival_performer), Robert Plant (festival_performer)",True
168,2002-09-27,Nassau Coliseum,Uniondale,NY,"Elton John (festival_performer), Billy Joel (festival_performer)",True
169,2002-09-28,Giants Stadium,East Rutherford,NJ,"The Rolling Stones (headliner), The Pretenders (opener)",True
17,1996-03-16,Eisenhower Hall Theatre,West Point,NY,Billy Joel (headliner),False
170,2002-10-06,Wells Fargo Center,Philadelphia,PA,Bruce Springsteen & the E Street Band (headliner),False
171,2002-10-11,Nassau Coliseum,Uniondale,NY,"Elton John (festival_performer), Billy Joel (festival_performer)",True
172,2002-11-17,XL Center,Hartford,CT,Bob Dylan (headliner),True
