Concert ID,Date,Venue,City,State,Festival Name,Headliners,Openers,Other Artists,Total Artists,Has Setlist
1240,2025-03-03,Ridgefield Playhouse,Ridgefield,CT,Multi-Artist Show,,,George Thorogood; the Destroyers,2,False
1241,2025-03-06,Prudential Center,Newark,NJ,Multi-Artist Show,,,Blake Shelton (Trace Adkins; Craig Morgan; Deana Carter; Emily Ann Roberts),4,True
1242,2025-03-11,Bowery,New York,NY,,Wilder Woods,,,1,True
1243,2025-03-15,Capitol Theatre,Port Chester,NY,Multi-Artist Show,,,Tribute to Phil Lesh / Graham Lesh; Friends,2,True
1244,2025-03-16,Ridgefield Playhouse,Ridgefield,CT,,The Lone Bellow,,,1,True
1245,2025-03-17,Capitol Theatre,Port Chester,NY,Multi-Artist Show,,,Tribute to Phil Lesh / Graham Lesh; Friends (Q),2,True
1246,2025-04-01,Capitol Theatre,Port Chester,NY,,Peter Frampton,,,1,True
1247,2025-04-15,Madison Square Garden,New York,NY,,The Brothers,,,1,True
1248,2025-05-02,Capitol Theatre,Port Chester,NY,,Avett Brothers,,,1,True
1249,2025-05-03,Capitol Theatre,Port Chester,NY,,Avett Brothers,,,1,True
125,2001-05-01,Toad's Place,New Haven,CT,,Riders on the Storm,,,1,False
1250,2025-05-08,Capitol Theatre,Port Chester,NY,,Little Feat,,,1,True
1251,2025-05-09,Tarrytown Music Hall,Tarrytown,NY,,Roger McGuinn,,,1,False
1252,2025-05-20,Beacon Theatre,New York,NY,Multi-Artist Show,,,Tedeschi Trucks Band; Buddy Guy,2,True
1253,2025-05-24,Bethel Woods,Bethel,NY,,Dave Matthews Band,,,1,True
1254,2025-05-28,Beacon Theatre,New York,NY,,John Fogerty,,,1,True
1255,2025-05-29,Capitol Theatre,Port Chester,NY,,Blues Traveler,,,1,True
1256,2025-05-31,Jones Beach Theater,Wantagh,NY,,Luke Bryan,,,1,True
1257,2025-06-04,Citi Field,Queens,NY,Multi-Artist Show,,,Post Malone; Jelly Roll,2,True
1258,2025-06-06,Irving Plaza,New York,NY,,The Doobie Brothers,,,1,True
1259,2025-06-13,Radio City Music Hall,New York,NY,,Ringo Starr,,,1,True
