Concert ID,Date,Venue,City,State,Festival Name,Artist Name,Artist ID,Artist Role,Artist Position,Has Setlist
259,2006-04-20,Convention Hall,Asbury Park,NJ,Multi-Artist Show,the Seeger Sessions Band,668,festival_performer,2,False
26,1996-07-27,Madison Square Garden,New York,NY,,KISS,310,headliner,1,False
26,1996-07-27,Madison Square Garden,New York,NY,,Dgeneration,167,opener,2,False
260,2006-04-24,The Theater at Madison Square Garden,New York,NY,,Van Morrison,623,headliner,1,True
261,2006-05-05,Radio City Music Hall,New York,NY,,INXS,254,headliner,1,True
262,2006-06-03,Continental Airlines Arena,East Rutherford,NJ,,Pearl Jam,422,headliner,1,True
262,2006-06-03,Continental Airlines Arena,East Rutherford,NJ,,My Morning Jacket,392,opener,2,True
263,2006-06-20,Madison Square Garden,New York,NY,,Tom Petty & the Heartbreakers,601,headliner,1,True
263,2006-06-20,Madison Square Garden,New York,NY,,Trey Anastasio & Stevie Nicks,613,opener,2,True
264,2006-06-22,Madison Square Garden,New York,NY,Multi-Artist Show,Bruce Springsteen,88,festival_performer,1,False
264,2006-06-22,Madison Square Garden,New York,NY,Multi-Artist Show,the Seeger Sessions Band,668,festival_performer,2,False
265,2006-06-25,PNC Bank Arts Center,Holmdel,NJ,Multi-Artist Show,Bruce Springsteen,88,festival_performer,1,False
265,2006-06-25,PNC Bank Arts Center,Holmdel,NJ,Multi-Artist Show,the Seeger Sessions Band,668,festival_performer,2,False
266,2006-07-01,Jones Beach Theater,Wantagh,NY,Multi-Artist Show,Jimmy Buffett,277,festival_performer,1,False
266,2006-07-01,Jones Beach Theater,Wantagh,NY,Multi-Artist Show,Coral Reefer Band,661,festival_performer,2,False
267,2006-07-14,Radio City Music Hall,New York,NY,,Bob Weir & Ratdog & String Cheese Incident,69,headliner,1,False
268,2006-07-18,Giants Stadium,East Rutherford,NJ,,Bon Jovi,71,headliner,1,True
269,2006-07-20,Radio City Music Hall,New York,NY,Multi-Artist Show,Ringo Starr & His All Starr Band (Billy Squier,464,festival_performer,1,False
269,2006-07-20,Radio City Music Hall,New York,NY,Multi-Artist Show,Richard Marx,454,festival_performer,2,False
269,2006-07-20,Radio City Music Hall,New York,NY,Multi-Artist Show,Rod Argent,480,festival_performer,3,False
269,2006-07-20,Radio City Music Hall,New York,NY,Multi-Artist Show,Sheila E. & Edgar Winter),513,festival_performer,4,False
27,1996-08-03,Jones Beach Theater,Wantagh,NY,,Hootie & the Blowfish & John Hiatt,250,headliner,1,False
270,2006-07-29,Caesars Palace,Las Vegas,NV,,Elton John,189,headliner,1,True
271,2006-08-04,Jones Beach Theater,Wantagh,NY,Multi-Artist Show,Counting Crows,135,festival_performer,1,True
271,2006-08-04,Jones Beach Theater,Wantagh,NY,Multi-Artist Show,Goo Goo Dolls,231,festival_performer,2,True
272,2006-08-11,Jones Beach Theater,Wantagh,NY,Multi-Artist Show,John Fogerty,293,festival_performer,1,True
272,2006-08-11,Jones Beach Theater,Wantagh,NY,Multi-Artist Show,Willie Nelson,641,festival_performer,2,True
273,2006-08-12,The Meadowlands,East Rutherford,NJ,,Tom Petty & the Heartbreakers & Allman Brothers Band,602,headliner,1,False
274,2006-08-17,Jones Beach Theater,Wantagh,NY,Multi-Artist Show,Steely Dan,531,festival_performer,1,True
274,2006-08-17,Jones Beach Theater,Wantagh,NY,Multi-Artist Show,Michael McDonald,383,festival_performer,2,True
275,2006-08-20,PNC Bank Arts Center,Holmdel,NJ,Multi-Artist Show,Crosby,142,festival_performer,1,True
275,2006-08-20,PNC Bank Arts Center,Holmdel,NJ,Multi-Artist Show,Stills,546,festival_performer,2,True
275,2006-08-20,PNC Bank Arts Center,Holmdel,NJ,Multi-Artist Show,Nash & Young,395,festival_performer,3,True
276,2006-09-12,Madison Square Garden,New York,NY,,Roger Waters,485,headliner,1,True
277,2006-09-14,Madison Square Garden,New York,NY,Multi-Artist Show,Jimmy Buffett,277,festival_performer,1,False
277,2006-09-14,Madison Square Garden,New York,NY,Multi-Artist Show,Coral Reefer Band,661,festival_performer,2,False
278,2006-09-18,Madison Square Garden,New York,NY,,The Who,587,headliner,1,True
279,2006-09-26,FYE,New York,NY,,Jerry Lee Lewis,271,headliner,1,False
28,1996-08-10,PNC Bank Arts Center,Holmdel,NJ,Multi-Artist Show,Lynyrd Skynyrd,362,festival_performer,1,False
28,1996-08-10,PNC Bank Arts Center,Holmdel,NJ,Multi-Artist Show,The Doobie Brothers,570,festival_performer,2,False
280,2006-09-27,Giants Stadium,East Rutherford,NJ,Multi-Artist Show,The Rolling Stones,585,festival_performer,1,True
280,2006-09-27,Giants Stadium,East Rutherford,NJ,Multi-Artist Show,Kanye West,313,festival_performer,2,True
281,2006-09-28,Madison Square Garden,New York,NY,,Eric Clapton,199,headliner,1,True
281,2006-09-28,Madison Square Garden,New York,NY,,Robert Cray,466,opener,2,True
